Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP_per_G,PTS_per_G,TRB_per_G,AST_per_G,WS,WS_per_48,BPM,VORP
2014,1,CLE,Andrew Wiggins,Kansas,6,454,16242,8943,1977,1065,0.441,0.332,0.732,35.8,19.7,4.4,2.3,15,0.044,-1.9,0.2
2014,2,MIL,Jabari Parker,Duke,6,285,8258,4255,1633,593,0.493,0.324,0.74,29,14.9,5.7,2.1,13.2,0.077,-0.8,2.4
2014,3,PHI,Joel Embiid,Kansas,4,209,6358,5005,2397,651,0.48,0.319,0.793,30.4,23.9,11.5,3.1,22.8,0.172,4.3,10.1
2014,4,ORL,Aaron Gordon,Arizona,6,403,11517,5143,2587,964,0.448,0.319,0.701,28.6,12.8,6.4,2.4,21.7,0.09,0,5.7
2014,5,UTA,Dante Exum,0,5,239,4429,1366,424,502,0.407,0.308,0.766,18.5,5.7,1.8,2.1,3.1,0.034,-3.3,-1.5
2014,6,BOS,Marcus Smart,Oklahoma State,6,401,11607,3950,1430,1628,0.373,0.318,0.775,28.9,9.9,3.6,4.1,20.7,0.086,-0.3,5
2014,7,LAL,Julius Randle,Kentucky,6,375,10934,6032,3375,1045,0.493,0.295,0.724,29.2,16.1,9,2.8,20.5,0.09,-0.5,4.1
2014,8,SAC,Nik Stauskas,Michigan,5,335,6662,2272,688,513,0.389,0.353,0.814,19.9,6.8,2.1,1.5,3.8,0.028,-3,-1.7
2014,9,CHH,Noah Vonleh,Indiana,6,335,5672,1660,1741,256,0.46,0.31,0.691,16.9,5,5.2,0.8,9.3,0.079,-2.4,-0.5
2014,10,PHI,Elfrid Payton,LA-Lafayette,6,387,11350,4247,1703,2566,0.452,0.289,0.625,29.3,11,4.4,6.6,14.9,0.063,-0.5,4.3
2014,11,DEN,Doug McDermott,Creighton,6,410,8170,3369,900,347,0.465,0.412,0.825,19.9,8.2,2.2,0.8,13.9,0.082,-2,-0.1
2014,12,ORL,Dario Šarić,0,4,306,8094,3743,1896,634,0.441,0.358,0.837,26.5,12.2,6.2,2.1,14.7,0.087,-0.7,2.6
2014,13,MIN,Zach LaVine,UCLA,6,353,10857,6240,1279,1275,0.447,0.375,0.819,30.8,17.7,3.6,3.6,12,0.053,-0.6,3.8
2014,14,PHO,T.J. Warren,NC State,6,328,9436,5080,1358,392,0.507,0.361,0.779,28.8,15.5,4.1,1.2,19.5,0.099,-0.2,4.3
2014,15,ATL,Adreian Payne,Michigan State,4,107,1403,429,315,66,0.406,0.254,0.68,13.1,4,2.9,0.6,-0.6,-0.019,-5.9,-1.4
2014,16,CHI,Jusuf Nurkić,0,6,318,7356,3749,2562,621,0.492,0.096,0.673,23.1,11.8,8.1,2,17.3,0.113,0.3,4.2
2014,17,BOS,James Young,Kentucky,4,95,812,219,96,28,0.367,0.277,0.563,8.5,2.3,1,0.3,0.8,0.046,-3.4,-0.3
2014,18,PHO,Tyler Ennis,Syracuse,4,186,2336,779,250,359,0.419,0.317,0.768,12.6,4.2,1.3,1.9,1.3,0.026,-3.4,-0.8
2014,19,CHI,Gary Harris,Michigan State,6,368,10663,4459,961,779,0.454,0.36,0.803,29,12.1,2.6,2.1,17.9,0.081,-0.9,2.9
2014,20,TOR,Bruno Caboclo,0,6,99,1257,425,254,71,0.4,0.316,0.846,12.7,4.3,2.6,0.7,1.5,0.058,-2.5,-0.2
2014,21,OKC,Mitch McGary,Michigan,2,52,557,227,183,17,0.527,0,0.58,10.7,4.4,3.5,0.3,1.3,0.108,-2.6,-0.1
2014,22,MEM,Jordan Adams,UCLA,2,32,263,101,30,19,0.402,0.385,0.607,8.2,3.2,0.9,0.6,0.4,0.07,1.7,0.2
2014,23,UTA,Rodney Hood,Duke,6,341,9326,4247,980,645,0.426,0.372,0.839,27.3,12.5,2.9,1.9,17.1,0.088,-0.5,3.4
2014,24,CHH,Shabazz Napier,UConn,6,345,5986,2433,657,849,0.397,0.345,0.815,17.4,7.1,1.9,2.5,8.1,0.065,-0.7,2
2014,25,HOU,Clint Capela,0,6,334,8674,4075,3243,324,0.634,0,0.526,26,12.2,9.7,1,36.4,0.201,1.9,8.5
2014,26,MIA,P.J. Hairston,UNC,2,111,2000,664,266,59,0.343,0.295,0.81,18,6,2.4,0.5,0.9,0.021,-3.9,-1
2014,27,PHO,Bogdan Bogdanović,0,3,209,5888,2831,673,732,0.434,0.374,0.806,28.2,13.5,3.2,3.5,8.7,0.071,-0.6,2.2
2014,28,LAC,C.J. Wilcox,Washington,3,66,376,132,31,30,0.37,0.333,0.813,5.7,2,0.5,0.5,0.1,0.007,-4.3,-0.2
2014,29,OKC,Josh Huestis,Stanford,3,76,1068,187,180,23,0.346,0.312,0.24,14.1,2.5,2.4,0.3,0.7,0.03,-3.5,-0.4
2014,30,SAS,Kyle Anderson,UCLA,6,367,7212,1991,1456,734,0.488,0.311,0.699,19.7,5.4,4,2,17.9,0.119,1.4,6.3
2014,31,MIL,Damien Inglis,0,1,20,156,36,31,10,0.351,0.231,0.875,7.8,1.8,1.6,0.5,-0.1,-0.024,-5.6,-0.1
2014,32,PHI,K.J. McDaniels,Clemson,3,148,2092,782,324,95,0.412,0.29,0.776,14.1,5.3,2.2,0.6,1.3,0.03,-2.8,-0.4
2014,33,CLE,Joe Harris,Virginia,6,331,8037,3452,1040,535,0.479,0.426,0.779,24.3,10.4,3.1,1.6,14.7,0.088,-0.7,2.5
2014,34,NYK,Cleanthony Early,Wichita State,2,56,801,241,123,42,0.346,0.263,0.75,14.3,4.3,2.2,0.8,-0.6,-0.039,-5.9,-0.8
2014,35,UTA,Jarnell Stokes,Tennessee,3,28,151,67,40,7,0.581,0,0.531,5.4,2.4,1.4,0.3,0.6,0.202,0.1,0.1
2014,36,MIL,Johnny O'Bryant,LSU,4,147,1684,509,352,69,0.402,0.36,0.663,11.5,3.5,2.4,0.5,0.2,0.006,-6.2,-1.8
2014,37,TOR,DeAndre Daniels,UConn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,38,DET,Spencer Dinwiddie,Colorado,6,317,8162,4103,875,1578,0.41,0.318,0.793,25.7,12.9,2.8,5,18.3,0.108,0.4,4.8
2014,39,PHI,Jerami Grant,Syracuse,6,454,11125,4220,1748,484,0.465,0.347,0.669,24.5,9.3,3.9,1.1,22.6,0.098,-0.9,3.1
2014,40,MIN,Glenn Robinson,Michigan,6,281,4930,1683,731,218,0.459,0.373,0.768,17.5,6,2.6,0.8,7.6,0.074,-1.5,0.6
2014,41,DEN,Nikola Jokić,0,5,381,11054,6462,3657,2098,0.524,0.338,0.826,29,17,9.6,5.5,48.7,0.212,7.1,25.4
2014,42,HOU,Nick Johnson,Arizona,1,28,262,74,39,11,0.347,0.238,0.68,9.4,2.6,1.4,0.4,-0.1,-0.02,-6.5,-0.3
2014,43,ATL,Edy Tavares,0,2,13,101,33,32,4,0.625,0,0.273,7.8,2.5,2.5,0.3,0.2,0.118,-0.4,0
2014,44,MIN,Markel Brown,Oklahoma State,3,113,1794,584,234,132,0.38,0.295,0.781,15.9,5.2,2.1,1.2,1.1,0.029,-2.9,-0.4
2014,45,CHH,Dwight Powell,Stanford,6,371,6956,2867,1711,364,0.563,0.293,0.739,18.7,7.7,4.6,1,26,0.179,1.4,6.1
2014,46,WAS,Jordan Clarkson,Missouri,6,453,12232,6699,1424,1164,0.446,0.342,0.818,27,14.8,3.1,2.6,13.9,0.055,-0.7,3.9
2014,47,PHI,Russ Smith,Louisville,2,27,131,53,15,19,0.319,0.188,0.769,4.9,2,0.6,0.7,-0.2,-0.068,-5.1,-0.1
2014,48,MIL,Lamar Patterson,Pitt,2,40,435,93,57,45,0.326,0.236,0.72,10.9,2.3,1.4,1.1,0.1,0.006,-5.7,-0.4
2014,49,CHI,Cameron Bairstow,New Mexico,2,36,167,44,36,7,0.296,0.2,0.846,4.6,1.2,1,0.2,-0.1,-0.021,-8.1,-0.3
2014,50,PHO,Alec Brown,Green Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,51,NYK,Thanasis Antetokounmpo,0,2,22,135,61,25,15,0.519,0,0.412,6.1,2.8,1.1,0.7,0.2,0.08,-2.8,0
2014,52,PHI,Vasilije Micić,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,53,MIN,Alessandro Gentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,54,PHI,Nemanja Dangubić,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,55,MIA,Semaj Christon,Xavier,1,64,973,183,87,130,0.345,0.19,0.548,15.2,2.9,1.4,2,0.1,0.006,-5.1,-0.8
2014,56,DEN,Devyn Marble,Iowa,2,44,457,97,69,29,0.304,0.222,0.375,10.4,2.2,1.6,0.7,-0.3,-0.028,-5.5,-0.4
2014,57,IND,Louis Labeyrie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,58,SAS,Jordan McRae,Tennessee,4,123,1696,846,225,167,0.417,0.355,0.772,13.8,6.9,1.8,1.4,1.7,0.048,-2.1,0
2014,59,TOR,Xavier Thames,San Diego State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,60,SAS,Cory Jefferson,Baylor,2,58,581,205,161,16,0.444,0.125,0.583,10,3.5,2.8,0.3,0.9,0.071,-3.3,-0.2
